scrape_date,origin,destination,departure_date,airline,price,weekday,month
2025-01-01,Mumbai,Delhi,2025-01-15,IndiGo,4536,Wednesday,1
2025-01-02,Mumbai,Delhi,2025-01-16,SpiceJet,4194,Thursday,1
2025-01-03,Mumbai,Delhi,2025-01-17,Vistara,4503,Friday,1
2025-01-04,Mumbai,Delhi,2025-01-18,Air India,5507,Saturday,1
2025-01-05,Mumbai,Delhi,2025-01-19,Akasa Air,5375,Sunday,1
2025-01-06,Mumbai,Delhi,2025-01-20,IndiGo,5904,Monday,1
2025-01-07,Mumbai,Delhi,2025-01-21,IndiGo,4069,Tuesday,1
2025-01-08,Mumbai,Delhi,2025-01-22,IndiGo,5406,Wednesday,1
2025-01-09,Mumbai,Delhi,2025-01-23,Air India,5463,Thursday,1
2025-01-10,Mumbai,Delhi,2025-01-24,IndiGo,4602,Friday,1
2025-01-11,Mumbai,Delhi,2025-01-25,IndiGo,5373,Saturday,1
2025-01-12,Mumbai,Delhi,2025-01-26,IndiGo,4072,Sunday,1
2025-01-13,Mumbai,Delhi,2025-01-27,IndiGo,5300,Monday,1
2025-01-14,Mumbai,Delhi,2025-01-28,Air India,4493,Tuesday,1
2025-01-15,Mumbai,Delhi,2025-01-29,Akasa Air,4496,Wednesday,1
2025-01-16,Mumbai,Delhi,2025-01-30,IndiGo,4103,Thursday,1
2025-01-17,Mumbai,Delhi,2025-01-31,Vistara,4301,Friday,1
2025-01-18,Mumbai,Delhi,2025-02-01,Air India,4502,Saturday,1
2025-01-19,Mumbai,Delhi,2025-02-02,Akasa Air,5124,Sunday,1
2025-01-20,Mumbai,Delhi,2025-02-03,Akasa Air,4115,Monday,1
2025-01-21,Mumbai,Delhi,2025-02-04,Air India,5197,Tuesday,1
2025-01-22,Mumbai,Delhi,2025-02-05,Air India,4704,Wednesday,1
2025-01-23,Mumbai,Delhi,2025-02-06,Air India,5672,Thursday,1
2025-01-24,Mumbai,Delhi,2025-02-07,IndiGo,5997,Friday,1
2025-01-25,Mumbai,Delhi,2025-02-08,Akasa Air,5942,Saturday,1
2025-01-26,Mumbai,Delhi,2025-02-09,IndiGo,4414,Sunday,1
2025-01-27,Mumbai,Delhi,2025-02-10,SpiceJet,5583,Monday,1
2025-01-28,Mumbai,Delhi,2025-02-11,Akasa Air,5185,Tuesday,1
2025-01-29,Mumbai,Delhi,2025-02-12,Air India,4253,Wednesday,1
2025-01-30,Mumbai,Delhi,2025-02-13,Air India,5282,Thursday,1
2025-01-01,Bangalore,Hyderabad,2025-01-15,Akasa Air,5355,Wednesday,1
2025-01-02,Bangalore,Hyderabad,2025-01-16,SpiceJet,5044,Thursday,1
2025-01-03,Bangalore,Hyderabad,2025-01-17,IndiGo,5437,Friday,1
2025-01-04,Bangalore,Hyderabad,2025-01-18,SpiceJet,4891,Saturday,1
2025-01-05,Bangalore,Hyderabad,2025-01-19,Akasa Air,4122,Sunday,1
2025-01-06,Bangalore,Hyderabad,2025-01-20,Air India,4647,Monday,1
2025-01-07,Bangalore,Hyderabad,2025-01-21,Akasa Air,4500,Tuesday,1
2025-01-08,Bangalore,Hyderabad,2025-01-22,Air India,4305,Wednesday,1
